"","CITY","STATE","PHYSICAL ZIP","POP","age0s","age10s","age20s","age30s","age40s","age50s","age60s","age70s","age80plus","type"
"490","CHARLESTON","SC",NA,150227,10.8,9.4,19.2,17.2,11.3,10.6,10.8,7.3,3.4,"Urban"
"491","COLUMBIA","SC","29201",136632,9,17.7,23.4,13.3,9.8,9.8,9.1,5.4,2.5,"Urban"
"502","SIOUX FALLS","SD","57104",192517,14.1,12.7,14.8,15.4,11.7,11.2,10.4,6.2,3.4,"Urban"
"505","SIOUX FALLS","SD","57106",192517,14.1,12.7,14.8,15.4,11.7,11.2,10.4,6.2,3.4,"Urban"
"506","RAPID CITY","SD",NA,74703,11.9,12.6,14.9,14,10.8,10.9,12.1,7.6,5.2,"Urban"
"507","NASHVILLE-DAVIDSON METROPOLITAN GOVERNMENT (BALANCE)","TN",NA,689447,11.6,11.1,19.4,18,11.7,10.8,9.5,5.2,2.6,"Urban"
"508","MEMPHIS","TN","38101",633104,13.3,13.3,15.8,14.3,11.7,11.7,11.3,5.9,2.9,"Urban"
"518","MEMPHIS","TN","38103",633104,13.3,13.3,15.8,14.3,11.7,11.7,11.3,5.9,2.9,"Urban"
"519","MEMPHIS","TN","38114",633104,13.3,13.3,15.8,14.3,11.7,11.7,11.3,5.9,2.9,"Urban"
"520","MEMPHIS","TN","38115",633104,13.3,13.3,15.8,14.3,11.7,11.7,11.3,5.9,2.9,"Urban"
"521","MEMPHIS","TN","38119",633104,13.3,13.3,15.8,14.3,11.7,11.7,11.3,5.9,2.9,"Urban"
"524","HOUSTON","TX","77002",2304580,13.2,13.1,16.3,16.5,12.6,11.1,9.4,5.2,2.6,"Urban"
"529","SAN ANTONIO","TX","78205",1434625,12.6,14.1,15.9,14.4,12.1,11.8,10,6,3.1,"Urban"
"530","SAN ANTONIO","TX","78284",1434625,12.6,14.1,15.9,14.4,12.1,11.8,10,6,3.1,"Urban"
"531","SALT LAKE CITY","UT","84101",199723,10.1,11.7,23.7,17.3,11.8,9.6,8.5,4.8,2.4,"Urban"
"532","SALT LAKE CITY","UT","84108",199723,10.1,11.7,23.7,17.3,11.8,9.6,8.5,4.8,2.4,"Urban"
